M_BH +/-
 (M_sun)
---------
8.47 0.27
7.61 0.40
8.71 0.57
9.13 0.32
8.29 0.40
8.32 0.51
8.39 0.49
7.23 0.58
8.53 0.55
7.49 0.51
8.16 0.32
8.90 0.48
7.98 0.43
8.43 0.27
8.85 0.54
8.43 0.48
7.75 0.40
8.17 0.38
8.85 0.28
7.45 0.42
8.18 0.45
8.13 0.32
8.36 0.52
8.52 0.29
8.60 0.19
8.16 0.50
8.59 0.36
8.49 0.39
8.45 0.32
8.16 0.24
7.78 0.53
7.94 0.33
7.87 0.57
8.45 0.48
8.58 0.37
8.39 0.29
8.12 0.33
8.80 0.28
9.22 0.61
8.15 0.42
7.88 0.52
8.34 0.27
8.83 0.42
8.47 0.52
8.50 0.37
8.19 0.50
8.43 0.29
8.71 0.26
8.20 0.44
8.35 0.36
